anno,gp,round,lap_number,driver,team,compound,position,final_position,csv_pit_stop_count,elo_driver,elo_team,stint,lap_in_stint,pit_in,pit_out,sector1,sector2,sector3,track_status,lap_time,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,lap_time_diff,gap_to_leader_diff,speed_avg_diff,throttle_pct_diff,brake_pct_diff,drs_pct_diff,gear_avg_diff,lap_time_pct,gap_to_leader_pct
2025,Saudi Arabian Grand Prix,5,4.0,LAW,Racing Bulls,MEDIUM,12,12.0,1,2768.3843947422856,5795.407550726584,0,0,False,False,37.011,30.519,30.183,1,97.713,221.5041095890411,0.589041095890411,0.16986301369863013,0.9972602739726028,5.558904109589041,3.881999999999991,7.432999999999993,-15.324059425043401,-0.13208566467296934,0.031834844684545616,-0.002739726027397249,-0.47771560872081853,0.6111111111111112,0.6666666666666666
2025,Saudi Arabian Grand Prix,5,4.0,BEA,Haas F1 Team,MEDIUM,13,13.0,1,2867.63707352167,6031.4846175349485,0,0,False,False,37.144,30.563,30.216,1,97.923,221.44262295081967,0.5792349726775956,0.18579234972677597,0.9972677595628415,5.69672131147541,4.091999999999999,7.9090000000001055,-15.385546063264826,-0.14189178788578471,0.04776418071269145,-0.002732240437158473,-0.3398984068344495,0.6666666666666666,0.7222222222222222
2025,Saudi Arabian Grand Prix,5,4.0,OCO,Haas F1 Team,HARD,17,14.0,1,3562.568808483813,6031.4846175349485,0,0,False,False,36.925,30.701,30.615,1,98.241,221.36856368563684,0.5718157181571816,0.2086720867208672,1.0,5.802168021680217,4.409999999999997,10.159999999999854,-15.459605328447651,-0.14931104240619875,0.07064391770678269,0.0,-0.23445169662964283,1.0,0.9444444444444444
2025,Saudi Arabian Grand Prix,5,4.0,HUL,Kick Sauber,HARD,15,15.0,1,3382.37027141538,6258.276964026439,0,0,False,False,37.01,30.456,30.559,1,98.025,221.44535519125682,0.5409836065573771,0.1994535519125683,1.0,5.7076502732240435,4.194000000000003,8.980999999999767,-15.382813822827671,-0.18014315400600323,0.06142538289848379,0.0,-0.32896944508581605,0.7777777777777778,0.8333333333333334
2025,Saudi Arabian Grand Prix,5,4.0,STR,Aston Martin,HARD,14,16.0,1,3322.1276255825105,6702.505644354316,0,0,False,False,36.967,30.473,30.55,1,97.99,220.70491803278688,0.5956284153005464,0.1721311475409836,0.9972677595628415,5.683060109289618,4.158999999999992,8.822000000000116,-16.123250981297616,-0.12549834526283388,0.034102978526899086,-0.002732240437158473,-0.35355960902024197,0.7222222222222222,0.7777777777777778
2025,Saudi Arabian Grand Prix,5,4.0,DOO,Alpine,HARD,16,17.0,2,2860.8218575289734,6179.732930604418,0,0,False,False,36.762,30.611,30.723,1,98.096,220.53405994550408,0.5449591280653951,0.1771117166212534,1.0,5.53133514986376,4.265000000000001,9.597000000000207,-16.29410906858041,-0.17616763249798517,0.039083547607168895,0.0,-0.5052845684460996,0.8333333333333334,0.8888888888888888
2025,Saudi Arabian Grand Prix,5,4.0,BOR,Kick Sauber,HARD,18,18.0,1,2783.065868987378,6258.276964026439,0,0,False,False,36.879,30.69,30.642,1,98.211,222.22641509433961,0.5660377358490566,0.20485175202156333,0.9973045822102425,5.77088948787062,4.3799999999999955,10.63299999999981,-14.60175391974488,-0.15508902471432373,0.06682358300747882,-0.0026954177897574594,-0.2657302304392397,0.8888888888888888,1.0
2025,Saudi Arabian Grand Prix,5,5.0,PIA,McLaren,MEDIUM,2,1.0,1,4982.064619562875,7325.943033905385,0,0,False,False,34.522,29.411,29.485,1,93.418,233.7251461988304,0.672514619883041,0.14619883040935672,0.1695906432748538,6.002923976608187,-0.2979999999999876,0.8540000000002692,-0.16438868489052538,-0.03097375220998233,0.021198830409356717,0.16086971304229566,0.0436216510267915,0.05555555555555555,0.1111111111111111
2025,Saudi Arabian Grand Prix,5,5.0,VER,Red Bull Racing,MEDIUM,1,2.0,1,4432.369857068747,6511.2641206232165,0,0,False,False,34.376,29.547,29.793,1,93.716,233.88953488372093,0.7034883720930233,0.125,0.00872093023255814,5.959302325581396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555
2025,Saudi Arabian Grand Prix,5,5.0,LEC,Ferrari,MEDIUM,4,3.0,1,3860.6332106899445,6717.285590137002,0,0,False,False,35.045,29.634,29.749,1,94.428,232.1206896551724,0.6580459770114943,0.16666666666666666,0.0,5.9798850574712645,0.7120000000000033,3.5080000000002656,-1.7688452285485141,-0.04544239508152903,0.04166666666666666,-0.00872093023255814,0.02058273188986881,0.2222222222222222,0.2222222222222222
